疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）
15,第一层·严重疾病,严重疾病赔偿,神经系统,脑炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,脑炎达严重标准。次级严重走早期危疾。
16,第一层·严重疾病,严重疾病赔偿,神经系统,偏瘫,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,半身不遂达合同程度。
17,第一层·严重疾病,严重疾病赔偿,神经系统,严重头部创伤,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,头部重伤造成永久神经损害。中度走早期危疾。
18,第一层·严重疾病,严重疾病赔偿,神经系统,脑膜结核病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,结核杆菌感染脑膜并达合同严重程度。
19,第一层·严重疾病,严重疾病赔偿,神经系统,运动神经原疾病（含脊髓性肌肉萎缩症、渐进延髓麻痹、肌萎缩性侧索硬化症及原发性侧索硬化症）,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,渐冻症等运动神经元病。儿童一型脊肌萎缩另有儿童病20%。
20,第一层·严重疾病,严重疾病赔偿,神经系统,多发性硬化症,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,MS 达到合同确诊标准。
21,第一层·严重疾病,严重疾病赔偿,神经系统,肌营养不良症,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,进行性肌肉萎缩达合同程度。
22,第一层·严重疾病,严重疾病赔偿,神经系统,瘫痪,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,两肢或以上永久瘫痪。中度走早期危疾。
23,第一层·严重疾病,严重疾病赔偿,神经系统,柏金逊症,100%减去已预支,终身,无单独美元上限,每种1次；与脑退化合计只赔1次；可领终身年金,是,适用,标准版爱伴航计划2（本方案）,是,帕金森病达合同程度。次级严重走早期危疾。
24,第一层·严重疾病,严重疾病赔偿,神经系统,脊髓灰质炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,小儿麻痹后遗症达合同标准。
25,第一层·严重疾病,严重疾病赔偿,神经系统,进行性核上神经麻痹症,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,PSP，一种少见的神经系统退化病。
26,第一层·严重疾病,严重疾病赔偿,神经系统,严重重症肌无力,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,重症肌无力达合同严重级别。
27,第一层·严重疾病,严重疾病赔偿,神经系统,中风,100%减去已预支,终身,无单独美元上限,每种1次；可进入10X（中风最多2次）,是,适用,标准版爱伴航计划2（本方案）,是,脑血管意外并留下神经功能障碍。可与心脏病合计进入多重赔偿。
28,第一层·严重疾病,严重疾病赔偿,主要器官和功能,急性坏死及出血性胰腺炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,暴发性胰腺炎。
29,第一层·严重疾病,严重疾病赔偿,主要器官和功能,再生障碍性贫血,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,骨髓造血衰竭。次级严重走早期危疾。
30,第一层·严重疾病,严重疾病赔偿,主要器官和功能,慢性肝病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,肝硬化等达终末期/严重标准。肝炎连肝硬化走早期危疾。
31,第一层·严重疾病,严重疾病赔偿,主要器官和功能,复发性慢性胰脏炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,反复发作并达合同标准的慢性胰腺炎。
32,第一层·严重疾病,严重疾病赔偿,主要器官和功能,末期肺病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,肺功能严重衰竭需持续氧疗等。
33,第一层·严重疾病,严重疾病赔偿,主要器官和功能,暴发性病毒性肝炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,急性肝衰竭型病毒性肝炎。因艾滋病/HIV导致者不保。
34,第一层·严重疾病,严重疾病赔偿,主要器官和功能,肾衰竭,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,需长期透析或移植的末期肾病。次级严重走早期危疾。
35,第一层·严重疾病,严重疾病赔偿,主要器官和功能,主要器官移植,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,已接受心/肺/肝/肾/骨髓等移植。仅在轮候册上走早期危疾。
36,第一层·严重疾病,严重疾病赔偿,主要器官和功能,肾髓质囊肿病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,髓质海绵肾达合同严重程度。
37,第一层·严重疾病,严重疾病赔偿,主要器官和功能,系统性红斑狼疮连狼疮性肾炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,狼疮合并肾脏损害。次级严重狼疮走早期危疾。
38,第一层·严重疾病,严重疾病赔偿,主要器官和功能,系统性硬皮病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,全身性硬化症达合同标准。
39,第一层·严重疾病,严重疾病赔偿,其他主要疾病,因输血而感染爱滋病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,在香港/澳门等符合条件的输血感染。普通HIV相关癌症不保。
40,第一层·严重疾病,严重疾病赔偿,其他主要疾病,失明,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,双眼永久失明。单眼失明走早期危疾。
41,第一层·严重疾病,严重疾病赔偿,其他主要疾病,慢性肾上腺功能不全（阿狄森氏病）,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,肾上腺皮质功能严重不足。
42,第一层·严重疾病,严重疾病赔偿,其他主要疾病,库贾氏病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,疯牛病类朊病毒病。次级严重走早期危疾。
43,第一层·严重疾病,严重疾病赔偿,其他主要疾病,克罗恩氏病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,克隆氏症达需手术或合同严重程度。
44,第一层·严重疾病,严重疾病赔偿,其他主要疾病,伊波拉,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,埃博拉病毒感染达合同标准。
45,第一层·严重疾病,严重疾病赔偿,其他主要疾病,象皮病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,淋巴丝虫病导致严重象皮肿。
46,第一层·严重疾病,严重疾病赔偿,其他主要疾病,失聪,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,双耳永久失聪。单耳走早期危疾。
47,第一层·严重疾病,严重疾病赔偿,其他主要疾病,失去一肢及一眼,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,同时失去一肢和一眼。
48,第一层·严重疾病,严重疾病赔偿,其他主要疾病,丧失语言能力,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,永久丧失说话能力达合同时长。
49,第一层·严重疾病,严重疾病赔偿,其他主要疾病,失去两肢,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,两肢自腕/踝以上截断。失去一肢走早期危疾。
50,第一层·严重疾病,严重疾病赔偿,其他主要疾病,严重烧伤,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,体表面积达合同比例的三度烧伤。次级/面部走早期危疾。
51,第一层·严重疾病,严重疾病赔偿,其他主要疾病,坏死性筋膜炎（食肉菌感染）,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,快速坏死的软组织感染。
52,第一层·严重疾病,严重疾病赔偿,其他主要疾病,因职业感染人体免疫力缺乏病毒（HIV）,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,医护等特定职业意外感染，须符合合同职业与申报条件。
53,第一层·严重疾病,严重疾病赔偿,其他主要疾病,嗜铬细胞瘤,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,肾上腺等部位的嗜铬细胞瘤需切除。
54,第一层·严重疾病,严重疾病赔偿,其他主要疾病,严重类风湿性关节炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,多关节严重损坏达合同标准。
55,第一层·严重疾病,严重疾病赔偿,其他主要疾病,严重溃疡性结肠炎,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,需全结肠切除等合同列明程度。
56,第一层·严重疾病,严重疾病赔偿,末期及生活能力,不能独立生活,100%减去已预支,至65岁,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,日常生活活动严重依赖他人。只保到65岁。
57,第一层·严重疾病,严重疾病赔偿,末期及生活能力,末期疾病,100%减去已预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,专科医生认定剩余寿命符合合同「末期」定义。
58,第一层·非严重疾病,非严重疾病赔偿,神经系统,须作手术之脑动脉瘤,50%预支,终身,无单独美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,唯一一项「非严重疾病」。前10年若赔此项，升级保障只给一半（即原有保额的25%）。
59,第二层·早期危疾,早期危疾赔偿,癌症,原位癌,20%预支,终身,"50,000美元",不同器官最多2次,是,适用,标准版爱伴航计划2（本方案）,否,不同器官最多2次。不包括 CIN II 或以下、PIN II 或以下、皮肤原位癌。
60,第二层·早期危疾,早期危疾赔偿,癌症,早期恶性肿瘤,20%预支,终身,"50,000美元",每种1次,是,适用,标准版爱伴航计划2（本方案）,否,包括：甲状腺 T1N0M0、前列腺 T1a/T1b、RAI I/II 早期慢性淋巴性白血病、非黑色素瘤皮肤癌。
61,第二层·早期危疾,早期危疾赔偿,心脏相关,主动脉疾病的血管介入治疗或主动脉瘤,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达「主动脉手术」严重标准时的介入治疗。
62,第二层·早期危疾,早期危疾赔偿,心脏相关,心瓣膜疾病的次级创伤性治疗,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,微创/次级创伤心瓣治疗，未达置换及修补严重标准。
63,第二层·早期危疾,早期危疾赔偿,心脏相关,次级严重心脏疾病（包括植入心脏起搏器或除纤颤器）,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,植入起搏器或除颤器等次级严重心脏情况。
64,第二层·早期危疾,早期危疾赔偿,心脏相关,次级严重传染性心内膜炎,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达严重传染性心内膜炎标准。
65,第二层·早期危疾,早期危疾赔偿,心脏相关,微创进行直接的冠状动脉搭桥手术,20%预支,终身,"50,000美元",每种1次,是,适用,标准版爱伴航计划2（本方案）,否,微创搭桥，不是传统开胸搭桥。
66,第二层·早期危疾,早期危疾赔偿,心脏相关,经皮穿刺冠状动脉介入（俗称「通波仔」）,20%预支,终身,"50,000美元",每种1次,是,适用,标准版爱伴航计划2（本方案）,否,支架/球囊扩张。小朋友少见，成年后常用。
67,第二层·早期危疾,早期危疾赔偿,心脏相关,心包切除手术,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,切除心包的手术。
68,第二层·早期危疾,早期危疾赔偿,神经系统,于颈动脉进行血管成形术或内膜切除术,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,颈动脉狭窄的介入或内膜剥脱。
69,第二层·早期危疾,早期危疾赔偿,神经系统,植入大脑内分流器,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,脑积水等需植入分流管。
70,第二层·早期危疾,早期危疾赔偿,神经系统,早期脑退化症（包括早期亚尔兹默氏病）,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达严重脑退化/MMSE 标准前的早期阶段。
71,第二层·早期危疾,早期危疾赔偿,神经系统,大脑动脉瘤的血管介入治疗,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,与「须作手术之脑动脉瘤」（非严重50%）不同，此项是介入治疗。
72,第二层·早期危疾,早期危疾赔偿,神经系统,次级严重细菌性脑（脊）膜炎,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达严重脑膜炎标准。
73,第二层·早期危疾,早期危疾赔偿,神经系统,次级严重昏迷,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,昏迷时长或程度未达严重昏迷。
74,第二层·早期危疾,早期危疾赔偿,神经系统,次级严重脑炎,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达严重脑炎标准。
75,第二层·早期危疾,早期危疾赔偿,神经系统,次级严重柏金逊症,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,早期帕金森，未达严重赔偿标准。
76,第二层·早期危疾,早期危疾赔偿,神经系统,中度严重脑部损伤,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达「严重头部创伤」。
77,第二层·早期危疾,早期危疾赔偿,神经系统,中度严重瘫痪,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达严重瘫痪。
78,第二层·早期危疾,早期危疾赔偿,神经系统,严重精神病,20%预支,终身,"50,000美元",每种1次,是,适用,标准版爱伴航计划2（本方案）,否,须符合合同精神科定义，不是普通情绪问题。
79,第二层·早期危疾,早期危疾赔偿,神经系统,脑硬膜下血肿手术,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,硬膜下出血需手术治疗。
80,第二层·早期危疾,早期危疾赔偿,神经系统,脑下垂体肿瘤切除手术,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,垂体瘤切除。
81,第二层·早期危疾,早期危疾赔偿,主要器官和功能,胆道重建手术,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,胆管重建。
82,第二层·早期危疾,早期危疾赔偿,主要器官和功能,慢性肺病,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达末期肺病。
83,第二层·早期危疾,早期危疾赔偿,主要器官和功能,肝炎连肝硬化,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达慢性肝病/暴发性肝炎的严重程度。
84,第二层·早期危疾,早期危疾赔偿,主要器官和功能,次级严重再生障碍性贫血,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达严重再障。
85,第二层·早期危疾,早期危疾赔偿,主要器官和功能,次级严重肾脏疾病,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达肾衰竭（透析/移植）。
86,第二层·早期危疾,早期危疾赔偿,主要器官和功能,次级严重系统性红斑狼疮,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未合并严重狼疮肾。
87,第二层·早期危疾,早期危疾赔偿,主要器官和功能,肝脏手术,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,部分肝切除等，未达移植。
88,第二层·早期危疾,早期危疾赔偿,主要器官和功能,主要器官移植（于器官移植轮候册名单上）,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,已上轮候册但尚未移植。移植成功后走严重疾病。
89,第二层·早期危疾,早期危疾赔偿,主要器官和功能,单肺切除手术,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,切除一侧肺。
90,第二层·早期危疾,早期危疾赔偿,其他主要疾病,植入人工耳蜗手术,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,植入电子耳蜗。
91,第二层·早期危疾,早期危疾赔偿,其他主要疾病,糖尿病视网膜病变,20%预支,终身,"50,000美元",每种1次,是,适用,标准版爱伴航计划2（本方案）,否,糖尿病引起的视网膜病变达合同程度。
92,第二层·早期危疾,早期危疾赔偿,其他主要疾病,周围动脉疾病的血管介入治疗,20%预支,终身,"50,000美元",每种1次,是,适用,标准版爱伴航计划2（本方案）,否,四肢动脉介入，未达失去肢体。
93,第二层·早期危疾,早期危疾赔偿,其他主要疾病,意外引致的脸部烧伤,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,面部烧伤未达严重烧伤体表面积。
94,第二层·早期危疾,早期危疾赔偿,其他主要疾病,意外受伤所需的面容重建手术,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,意外后面部重建手术。
95,第二层·早期危疾,早期危疾赔偿,其他主要疾病,意外引致的次级严重身体烧伤,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,烧伤面积未达严重烧伤。
96,第二层·早期危疾,早期危疾赔偿,其他主要疾病,次级严重库贾氏病,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,未达严重库贾氏病。
97,第二层·早期危疾,早期危疾赔偿,其他主要疾病,单耳失聪,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,一只耳朵永久失聪。
98,第二层·早期危疾,早期危疾赔偿,其他主要疾病,失去一肢,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,一只肢体截断。两肢走严重疾病。
99,第二层·早期危疾,早期危疾赔偿,其他主要疾病,单眼失明,20%预支,终身,产品简介未单列美元上限,每种1次,是,适用,标准版爱伴航计划2（本方案）,否,一只眼睛永久失明。
100,第二层·早期危疾,早期危疾赔偿,其他主要疾病,骨质疏松症连骨折,10%预支,至70岁,"50,000美元",每种1次,是,适用,标准版爱伴航计划2（本方案）,否,此项保障只到70岁，预支10%（不是20%）。
101,第二层·早期危疾,早期危疾赔偿,其他主要疾病,严重中枢神经性睡眠窒息症或混合性睡眠窒息症,20%预支,终身,"50,000美元",每种1次,是,适用,标准版爱伴航计划2（本方案）,否,须符合合同睡眠监测与治疗标准。
102,第二层·早期危疾,早期危疾赔偿,其他主要疾病,严重阻塞性睡眠窒息症,20%预支,终身,"50,000美元",每种1次,是,适用,标准版爱伴航计划2（本方案）,否,须符合合同睡眠监测与治疗标准。
103,第二层·严重儿童疾病,严重儿童疾病赔偿,心脏相关,俱心脏并发症的川崎病,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,儿童川崎病合并心脏并发症。普通川崎病未达心脏并发症可能不赔。
104,第二层·严重儿童疾病,严重儿童疾病赔偿,心脏相关,风湿性心瓣疾病,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,风湿热后心瓣受损达合同程度。
105,第二层·严重儿童疾病,严重儿童疾病赔偿,心脏相关,严重血友病,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,合同定义的严重型血友病。
106,第二层·严重儿童疾病,严重儿童疾病赔偿,神经系统,自闭症,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,须符合合同诊断标准。与 ADHD/妥瑞症不同：自闭症在标准版有，ADHD 只在首护挚宝。
107,第二层·严重儿童疾病,严重儿童疾病赔偿,神经系统,由疾病或受伤引致的智力障碍,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,因病或意外导致智力缺陷达合同程度，不是学习成绩差。
108,第二层·严重儿童疾病,严重儿童疾病赔偿,神经系统,一型青少年脊髓性肌肉萎缩症,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,SMA I 型。成年运动神经元病另走严重疾病。
109,第二层·严重儿童疾病,严重儿童疾病赔偿,主要器官和功能,肾小球肾炎合并肾病综合症,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,儿童肾病综合症达合同标准。
110,第二层·严重儿童疾病,严重儿童疾病赔偿,主要器官和功能,严重哮喘,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,不是普通哮喘，须达合同「严重哮喘」定义（例如持续治疗、肺功能等）。学龄儿童较常见的儿童病索赔场景。
